Model,Global ROC,Global F1,Global Precision,Global Recall,TPP1 F1,TPP2 F1,TPP3 F1,TPP4 F1
v0 Baseline,0.849442,0.599796,0.605585,0.594117,0.551284,0.474802,0.728782,0.873610
v1 SymCA,0.737940,0.375606,0.267535,0.630157,0.344581,0.425141,0.454009,0.135395
v2 SymCA+TraBl,0.750493,0.405574,0.261486,0.903346,0.333485,0.609121,0.465830,0.105815
v3 SymCA+IntM,0.820380,0.421753,0.270994,0.950569,0.329385,0.522147,0.568518,0.152481
v4 SymCA+ResNH,0.773676,0.404610,0.258523,0.930317,0.355437,0.616166,0.433512,0.099790
v5 SCA+IM+RNH,0.739964,0.400672,0.255791,0.924067,0.287951,0.585203,0.519822,0.160931
v6 SCA+TB+IM,0.796937,0.404187,0.262337,0.880039,0.297615,0.595565,0.496405,0.157410
v7 SCA+TB+RNH,0.763346,0.406543,0.274045,0.787097,0.280483,0.576458,0.565054,0.156635
v8 Full Arch,0.674219,0.349803,0.217185,0.898365,0.295662,0.578750,0.378903,0.085596
